id--response_id	submitdate--date_submitted	lastpage--last_page	startlanguage--start_language	a03--gender:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a06--city:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a05--state/province:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a04--country:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	b02--formation_or_concentration:__please_tell_us_your_educational_background_(biology,_chemistry,_physics,_etc)	b01--please_tell_us_the_highest_degree_achieved:	b03--are_you_affiliated_with_any_institutions/groups/organizations?	b04--could_you_tell_us_which_one(s)?	b05--if_you_are_in_an_academic_institution,_what_is_your_main_occupation:__ 	c01-- __which_of_these_are_your_main_work_area?	c02--for_how_many_years_have_you_been_working_in_this_area?__ 	e01--how_do_you_perceive_research_equipment_access_inside_your_group/institution?	e03--could_you_explain_a_bit_your_previous_answer?	e02--which_of_the_following_do_you_consider_to_be_the_biggest_difficulty_in_equipment_access?	e04[sq001]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[most_used:]	e04[sq002]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[second_most_used_(if_any):]	e04[sq003]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[third_most_used_(if_any):]	e08[sq001]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_1:]	e08[sq002]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_2_(if_any):]	e08[sq003]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_3(if_any):]	e05--was_there_ever_a_need_to_change_a_project_due_to_problems_related_to_equipment_use/access?	e06--could_you_tell_us_which_equipment_caused_the_change?_(please_try_to_avoid_acronyms, _use_thermocycler_instead_of_pcr_machine).	e07--in_case_any_projects_had_to_be_changed_due_to_access/problems,_could_you_tell_us_why?	d01--do_you_use_open_technologies*_in_your_work/research/projects?__ __*any_tools,_code_or_equipment_based_on_open_source_(build,_calibration_plans,_and/or_code_freely_distributed)__ 	d04--which_ones?_(please_list_all_that_you_remember._separate_them_with_commas:_imagej,_python,_ubuntu,_openpcr,_etc)	d02--do_you_know_anyone_who_is_using_open_technologies?	d05--could_you_tell_us_what_they_are_using?_(please_list_all_that_you_remember._separate_them_with_commas:_imagej,_python,_ubuntu,_openpcr,_etc)	d03--do_you_know_any_scientific_equipment_that_is_open_source?	d06--which_ones_(please_list_all_that_you_know/remember._separate_them_with_commas:_openpcr,_openephys,_etc)	f01--would_you_consider_buying_equipment_from_new_brands?	f08--could_you_tell_us_why?	f02--would_you_consider_building_laboratory_equipment_yourself,_if_you_were_given_a_list_of_necessary_components_and_the_building_and_calibration_manuals?	f09--could_you_tell_us_why?	f03--have_you_ever_tested_equipment_from_less_known/new_brands?	f04--you_did_it_because:	f05--have_you_ever_built_laboratory_equipment_yourself?	f06--could_you_please_tell_us_a_bit_more_about_it?	f07--would_you_like_to_test_research_equipment_from_new_brands_or_distributed_under_diy_paradigm?
161	2019-01-29 15:44:26	8	en	male				physics	phd	yes		researcher	physics	10	partially satisfactory		too many users for a small number of equipment/tools	xrd	computers	laser spectrometer	xray diffractometer	spectrometer	none	yes		equipment broke and it took too much time to repair it	yes	python, ubuntu, gsas, eclipse	yes	python, ubuntu, gsas, eclipse	no		yes	so long as their equipment is sound....	yes	ensure meets requriements	yes	looking for affordable option	yes	budget constraints necessitated building a flouresence spectrometer	yes
162	2019-01-29 19:09:45	8	en	male	montreal	quebec	canada	undergrad in cs; phd in systems neuroscience	phd	yes	mcgill	researcher	biology	12	satisfactory	there is a bit of contention for some resources but can mostly be fixed via planning		neurophysiology 	transcranial electrical stimulator	eye tracker	electroencephalograph	access to vlsi	none	yes			yes	python, linux, open ephys, gcc, r	yes	python, linux, open ephys, gcc, r	yes	openephys	yes	depends on specs, price, and support	yes	yes if the project has more time than money. no for some projects where speed is of the essence. for example, a recent darpa contract had such a tight timeline that we opted for a commercial rather than open source product. we didn’t want to risk the time and wanted to have 3rd party support available	yes	just to try out new things	yes	microdrive, adapted from a microscope stage. all sorts of adapters, response boxes, etc	yes
163		1	en	male	atlanta	ga	usa		masters	yes																															
164	2019-01-30 01:43:17	8	en	male	ottawa	ontario	canada	high school	high school	yes	hiqa inc.	non-administrative/non-academic work	other	15	satisfactory			pick and place machine	nonesolder paste screen printer 	reflow oven	juli pick and place machine	selective solder machine	reflow oven	yes			no		no		no		yes	i am not brand loyal to anything 	yes	i have the facilities and knowledge to build it	yes	looking for affordable option	no		yes
165		1	en		brisbane	qld	australia																																		
166		3	en	male	cape town	western cape	south africa	medicine	phd	yes	university of cape town	researcher	biology	10					none	none		none	none																		
167	2019-01-30 18:08:19	8	en	female				biochemistry	masters	yes		student	biology	1	partially satisfactory		too many users for a small number of equipment/tools	centrifuge	incubator	electrophoretic unit	electrophoresis unit	gel dock	flash evaporator	no			i wouldn't know		i wouldn't know		no		maybe	we won't know the working procedure.	yes	i am interested to make something on own.	no		no		yes
168			en																																						
169	2019-01-31 08:15:11	8	en	female	bahir dar	amhara	ethiopia	computer science	masters	yes	bahir dar  university	researcher	computer science	4	unsatisfactory	 in order to access equipment inside our institution  very hard because  equipment's are not available  and also in order to buy it is difficult	too many users for a small number of equipment/tools	computer	sensors	arduino microcontroller	sensors	raspberry pi 	gpu based pc	yes	sensors and arduino	equipment unavailable (other reasons than being broken)	no		no		no		yes	because most of the time new brands equipment have capability to perform any activity /task in efficient manner	yes	yes  because now i am working on wireless communication  research  center and i want to  build my laboratory equipment and train my bsc students and staffs	yes	only available brand	no		yes
170	2019-01-31 08:58:00	8	en	male	lisbon	lisbon	portugal	biology	phd	yes	champalimaud research	researcher	biology	9	satisfactory	the group i work in now is well funded, this was different in my previous lab though, where i would have answered partially satisfactory		electrodes	photometry systems	microscopes	electrophysiological tools	none	none	i wouldn't know			yes	python, linux, imagej, arduino, rasperrypi, openephys, pyphotometry, bonsai	yes	python, linux, imagej, arduino, pulsepal, raspberripi, openephys, bonssai	yes	pulsepal, openephys, pyphotometry, 	yes	i am not sure i understand the question. why wouldn't i? i decide by the specs.	yes	low cost, customizability to my own specific needs	yes	looking for affordable option	yes	i have developed hardware myself. optogenetical stimulators, olfactory stimulators (which is open ;) ), various smaller tools/devices, modifications of existing equipment etc.	yes
171		2	en					physics	phd	yes			arts																												
172			en																																						
173	2019-01-31 10:00:52	8	es	female	paris		france	biología	phd	yes	icm institute du cerveau et de la moelle epiniere	researcher	biology	10	partially satisfactory	la mayor parte del equipamiento mas caro pertenece a diferentes plataformas del centro en el que trabajo. me refiero a microscopios confocales, secuenciadores, facs sorters etc.. esta estructura permite tener acceso a equipamiento que de otra forma no podríamos tener y es en general optimo. sin embargo a veces no se ajusta a las necesidades especificas del proyecto o solo puede utilizarse a través de un técnico.	certain types of equipment are not available	pcr	confocales	secuencidares	qubit cuantificador con alta sensibilidad de rna, dna y proteína	bioanalycer para comprovar el estado de conservacion de las extracciones de rna	two photon microscope	no			yes	fiji	yes	python for data analysis	no		yes	si el rendimiento es el mismo no veo inconveniente en usar nuevas marcas	yes	no veo dificultad en seguir instrucciones	no		yes	una estación de comportamiento para drosophila	yes
174	2019-01-31 10:00:22	8	en	female				pharmacology	masters	yes	university of ibadan	student	other	3	unsatisfactory	equipment are outdated and some work have to be done outside of the institution, in private laboratories.	other	electron microscope	spectrophotometer	pcr machine	microscope	microscope	-90°c refrigerator	yes	-90°c refrigerator	equipment unavailable (other reasons than being broken)	i wouldn't know		no		no		yes	if it's cheaper, easily accessible and readily available.	yes	it'll come with it a knowledge of knowing the components and being able to disassemble when there's a fault and repair as appropriate.	no		no		yes
175	2019-01-31 10:51:06	8	en	male	cape town	western cape	za	biology	masters	yes	uct	researcher	biology	5	unsatisfactory	 there is often a mismatch between what is really needed and what funds are used for. also, often researchers are not aware of where their fields are going in a real-world sense	too many users for a small number of equipment/tools	western blot facilities	various thermocycler systems	ultra centrifuges	bioreactors for the production of microbial biomass on pilot-scale	bench-top cytometer 	untracentrifuge	yes	access to good fluorescence microscopes, cytometers, inaccessible microbial strains from various pay-to-play collections 	equipment broke and it took too much time to repair it	no		no		no		yes	fast-paced biotech innovation drives our research paradigm	no	it depends on the time required, but our research field is already almost prohibitively time consuming	yes	looking for affordable option	yes	various bioreators for specific research applications. also, integrated a multi photo laser into a fluorescent microscope for gfp-mediated axotomy in cv. elegans	yes
176	2019-01-31 11:07:18	8	en	female	cape town	western cape	south africa	biology, bioprocess engineering	phd	yes	university of cape town	researcher	biology	16	partially satisfactory	aging but in working order or being maintained in working order	the amount of time necessary to repair/calibrate existing equipment	autoclaves	centrifuges	shaking incubators	gas chromatography system	off line gas analyser	none	yes	software for outdated off line gas analyser	equipment broke and it took too much time to repair it	i wouldn't know		i wouldn't know		no		yes	often more competitively priced. although after sales service is important and therefore the distributor will need to guarantee this.	yes	a deeper understanding of the inner working of the instrument would allow more freedom for either altering it or replacing broken parts in house.	yes	looking for affordable option	yes	specialised reactors.	yes
177		3	de	male		nrw	deutschland	chemie	high school	yes		student	chemistry	5					none	none		none	none																		
178		1	en	female																																					
179		1	de																																						
180		1	en	male	kumasi 	ashanti region 	ghana																																		
181		3	en	male	london		uk	biology, physics, psychology	phd	yes	ucl	researcher	other	10					none	none		none	none																		
182		3	en	male			united kingdom	computer science	phd	yes	university of cambridge	researcher	biology	10					none	none		none	none																		
183	2019-01-31 15:00:47	8	en	male	accea		ghana	pharmacy 	masters	yes	university of health and allied sciences	researcher	pharmacy	2	unsatisfactory	the school of pharmacy in which i teach is about 3 years old. equipment acquisition is still ongoing but the current manifest of equipment is inadequate.	certain types of equipment are not available	uv/visible/fluorescence mictoplate reader	centrifuge	hplc	micromanipulator with accessories	inverted microscope	liquid chromatograpy-mass spectrometer	yes	i recently had to use hplc for analysing trace amounts of compunds in the blood instead of using a more sensitove method like lc-ms	equipment unavailable (other reasons than being broken)	yes	imagej, python, r, jwatcher,solomon coder, boris	i wouldn't know		no		yes	the current procurement procedures avalialble in my institution does not allow the school to purchase anything other than brand new equipment. however , the institution accepts refurbished equipment that comes in in the form of a grant.	yes	it is cheap, easily accessible and also easy customisation of experiment.	yes	looking for affordable option	yes	"a microfuge
mechanical shaker"	yes
185	2019-01-31 14:59:55	8	en	male				molecular biology	masters	yes	university of groningen	researcher	biology	6	satisfactory	the available equipment is accessible to trained researchers based on the project need		thermocycler	electrophoresis	scale	voltage clamp fluorometry	two electrode voltage clamp	automated protein purification system	no			no		yes	ubuntu, python, 3d printer	yes	openpcr, openephys, open electrophoresis apparatus	yes	because change is good	yes	it would allow me to become the expert and gain knowledge about the specific technologies	yes	just to try out new things	yes	openpcr, electrophoresis apparatus	yes
186	2019-01-31 15:22:44	8	en	male	ho	volta region 	ghana 	pharmacy and pharmaceutical sciences	masters	yes	university of health and allied sciences, and kwame nkrumah university of science and technology, kumasi.	researcher	pharmacy	5	unsatisfactory	our university is a young institution and there are financial constraints hindering our ability to procure needed equipment for laboratory research	certain types of equipment are not available	hplc machine	rotary evaporator	elisa reader	rotary evaporator	hplc machine	freeze dryer	yes	rotary evaporator, elisa reader, uv-fluorescence chamber	equipment unavailable (other reasons than being broken)	no		yes	python, r, knime, openscad	no		yes	new technologies help build more efficient equipment & i believe new brands may equally be good or even better than well-known brands	yes	this will enhance work flow. diy will usually require lower capital & make more use of the scarce resource. building equipment myself will enhance maintenance capacity & reduce redundance	yes	brand was recommended by a colleague	yes	we built and tested a mechanical shaker with sieves for analysing powders	yes
187		1	en																																						
188		3	en	male			canada	biology	phd	yes		researcher	biology	15					none	none		none	none																		
189	2019-01-31 18:13:29	8	en	male	olympia	washington	usa	biology, computer science	masters	yes	cascadia research collective	non-administrative/non-academic work	biology	6	partially satisfactory	we have reasonably good access to field equipment, but some of it is getting old and worn. well funded projects can afford new equipment, other projects need to make due with what is in the equipment room.	certain types of equipment are not available	cameras	tags	hydrophones	remotely operated underwater vehicle	wave glider	hydrophone array	yes	porpoise click detector 	equipment unavailable (other reasons than being broken)	yes	r, linux, c	yes	open rov	yes	towable hydrophone, open rov	yes	they often innovate a new product unavailable elsewhere	yes	my previous career was as a firmware engineer. i miss some aspects of making, and easy to get back to that.	yes	just to try out new things	yes	usb testers, analog to digital converters, diagnostic cards for computers, tag components, hydrophone.	yes
190	2019-01-31 18:21:16	8	en	female		california	usa	oceanography	phd	yes	scripps institution of oceanography, uc san diego	non-administrative/non-academic work	education	1	partially satisfactory	some of our equipment is very old, and our buildings are very old. 	certain types of equipment are not available	ftir spectroscopy	raman spectroscopy	none	microscope ftir 	none	none	yes	microscope ftir	equipment unavailable (other reasons than being broken)	yes	r	yes	imagej, python	no		yes	if it's what i need, i don't care the brand.	yes	i know what science needs to be done. 	yes	needed to establish new protocols/experiments in the lab for which there were no options available in the market	yes	i needed to build a sampling method, and so we had to build equipment that didn't exist. 	no
191		3	en	female			israel	biology	masters	yes	technion	student	biology	5					none	none		none	none																		
192		1	en																																						
193	2019-01-31 19:01:34	8	en	male	victoria	bc	canada	biology	bachelors of science	yes	university of victoria	student	biology	4	satisfactory	my lab is well funded and i have enough academic connections that access to most equipment is not an issue. the main problem is when expensive equipments is shared among multiple users, resulting in somewhat limited access.		laminar flow hood	analytical balance	microscope	infrared spectrophotometer	automated microscope	none	no			yes	r, qgis	yes	imagej, python, r, qgis	no		yes	if the equipment is up to standards then the brand doesn't matter.	yes	if it makes it possible to do things that otherwise wouldn't be affordable, then it would be beneficial.	no		no		yes
194	2019-01-31 19:25:13	8	en	male	galveston	texas	usa	bs biology marine and freshwater	bachelors of science	yes	noaa nms fgbnms	researcher	other	3	satisfactory	we generally have sufficient funds to purchase justifiable research equipment		seabird scientific sbe16plus v2	scuba gear	ysi handheld water quality meter	automated buoys to track conditions in real time at flower garden banks	live feed camera technology from fgbnms	none	no			no		no		no		yes	always looking to upgrade, streamline and collect accurate data efficiently	yes	we're capable and cost would likely be much lower	no		no		yes
195	2019-01-31 19:55:22	8	en	female	lagos		nigeria	marine biology	masters	yes	nigerian institute for oceanography and marine research	researcher	other	11	unsatisfactory	we don't have equipment.	certain types of equipment are not available	microscope	none	none	multimeter	tide guage	digital microscope	yes	digital microscope	equipment unavailable (other reasons than being broken)	i wouldn't know		i wouldn't know		no		yes	they may be able to be more effective and affordable.	yes	that way i can customize it and repair it.	no		no		yes
196			en																																						
197	2019-01-31 21:51:38	8	en	male	ho		ghana	pharmacy 	masters	yes	university of health and allied sciences 	researcher	pharmacy	3	unsatisfactory	new university and my program is just 3 years old. no equipment for top notch research	certain types of equipment are not available	uv spectrophotometer 	none	none	single crystal x-ray diffractometer	none	none	no			no		no		no		maybe	if there are funds why not? 	yes	half a loaf is better than none	no		no		yes
198		5	en	male	montere	ca	usa	conservation biology	masters	yes	monterey bay aquarium	researcher	biology	10	partially satisfactory		other	raman microscope	none	none	raman microsope	none	none	yes			yes	r	yes	r	no										
199	2019-01-31 23:01:41	8	en			ca	united states	ecology	phd	yes		researcher	biology	17	satisfactory	we have new equipment for a variety of uses that has yet to be used.		isotope sample preparation tools - mortar, pestle, etc.	none	none	tissue homogenizer	none	none	i wouldn't know			yes	r, rstudio, github	yes	r, rstudio, github, python	no		yes	if it was well reviewed and offered something new that others could not, i would be interested.	no	i'm not sure i would have the skills.	no		no		yes
200	2019-02-01 00:08:00	8	en	male	kumasi	ashanti region	ghana	i am trained biomedical scientist with expertise in medical microbiology (all aspects of microbiology), pathology, clinical chemistry, transfusion science and haematology.	bachelors of science	yes	kumasi hive and open bioeconomy lab	researcher	biology	2	unsatisfactory	access to equipment for research and educational purposes has been difficult due to its expensive nature. therefore, it become difficult to acquire. on the other hand, due to the close design manufacturing system of same of the equipment, it becomes difficult to repair or use especially if the reagents are used up and there is the need to change and use another reagent.	certain types of equipment are not available	bioreactor	thermocycler	electrophoresis system	bioreactor	thermocycler	microscope	yes	high performance liquid chromatography machine	equipment unavailable (other reasons than being broken)	yes	open science framework, github, gitlab	yes	creating and distributing molecular biology research tools and protocols using the open science framework to enhance distributed low-cost biomanufaturing.	yes	floupi, open microcentrifuge	maybe	you consider buying an equipment brand new if the diy equipment doesn't meet the calibration standard to enable me generate accurate results.	yes	this will enable me to have access to the manufacturing protocols hence enabling me to start a micromanufacturing line to manufacture and sell equipment at subsidized cost to users and leveraging it to provide employment opportunities to unemployed graduate youths.	yes	looking for affordable option	yes	i tried building a diy thermocycler using 3d printing and arduino.	yes
201			en																																						
202	2019-02-01 06:50:37	8	en	female	cape town	western cape	south africa	molecular and cell biology	masters	yes	uct	student	biology	3	partially satisfactory	we have most of the equipment we need. however, the machines are very old, breaking often and there're too few of them to accommodate everyone.	too many users for a small number of equipment/tools	ultracentrifuge	vacuum infiltration pump	sds-page equipment	ultracentrifuge	sds-page gel plates and electrophoresis equipment	vacuum infiltration pump	i wouldn't know			yes	"imagej, python, benchling, ncbi
"	yes	imagej, python, benchling, ncbi	no		yes	if it was more affordable i would.	yes	if it was more affordable i would.	yes	only available brand	no		yes
203	2019-02-01 08:48:55	8	en	male	buenos aires	ciudad autónoma de buenos aires	argentina	biotechnology	phd	yes	universidad nacional de quilmes	researcher	biology	15	unsatisfactory	budget is very limited. no core facilities. 	certain types of equipment are not available	desktop computers	high-performance computing cluster	none	graphic processing units (gpus)	none	none	yes	high-performance computing cluster storage disk	equipment broke and it took too much time to repair it	yes	python, ubuntu, several pieces of software for bioinformatics purposes	yes	python, ubuntu, several pieces of software for bioinformatics purposes	yes	openpcr, colorimeter, 3d printer	maybe	because they seem to improve (support, quality, price/quality rate) over well-known brands.	yes	to tinker with components	yes	looking for affordable option	yes	built computers from parts after looking for most convenient suppliers of each component	yes
204			en																																						
205	2019-02-01 09:10:20	8	en	female	cape town	western cape	south africa	molecular biology	bachelors of science	yes	univeristy of cape town	student	biology	5	partially satisfactory	old equipment such as hplcs give issues, tests that can be done are limited by available equipment 	the amount of time necessary to repair/calibrate existing equipment	centrifuges 	microscopes 	high performance liquid chromotographers 	a high performance liquid chromotography machine 	none	none	i wouldn't know			yes	"nikon fluorescent microscope 
"	yes	python	no		yes	depending if they are local / are feeding into development of science in africa	yes	depending how complicated it is and the level of performance of equipement 	no		no		yes
206	2019-02-01 09:28:36	8	en					biology 	masters	yes	university of port harcourt 	researcher	biology	2	unsatisfactory	we are limited in that we lack modern day instruments for our research 	certain types of equipment are not available	microscope	transects	incubator	thermal cycler	ultraviolet transilluminator	nanospectrophotomer 	yes	thermal cycler, ultraviolet transilluminator, nanospectrophotometer, 	equipment unavailable (other reasons than being broken)	no		no		no		no	it could be very expensive 	yes	that would provide me with the technical skills i would need to maintain the equipment and also save so much cost in buying new equipment 	yes	only available brand	no		yes
207	2019-02-01 09:53:03	8	en					biochemistry	masters	yes	champalimaud foundation	student	other	4	satisfactory	in general funding is not an issue		custom-made treadmills for mice	none	none	two photon microscope	two photon mesoscope	none	no			yes	imagej, python, bonsai, miniscope	yes	imagej, python, bonsai, miniscope, scanimage, ubuntu, r, openephys	yes	openephys, miniscopes	yes	if it's a new concept	yes	its a good solution in terms of cost, customization and maintenance	no		yes	we have ordered the parts of miniscopes and bult several of them. we built our own behavioral rigs	yes
208		3	en		cambrdge		uk	medicine	bachelors of science	yes	cambridge university	researcher	health	20					none	none		none	none																		
209	2019-02-01 12:31:05	8	en	male				cognitive sciences	bachelors of art	yes		researcher	education	3	unsatisfactory		certain types of equipment are not available	laptop	none	none	eye-trackers	none	none	yes		equipment unavailable (other reasons than being broken)	yes	firefox, python, open office, open journal systems, many, many .js libraries	yes	julia (programming language), [broad question]	no		maybe	"do you mean project money here? if so: yes, that would depend on the vendor. 
personally i'm very brand-loyal"	yes	i have experience with custom computer building etc.	yes	just to try out new things	no		yes
210		3	en	male	cambridge			chemistry	masters	yes	university of cambridge	student	chemistry	6					none	none		none	none																		
211	2019-02-01 14:49:05	8	en	male	bath		uk	physics	phd	yes	university of bath	researcher	physics	8	satisfactory	currently our research group is focused on developing low cost open-source hardware, and the group is well funded so we do not currently have any issies.		microscope	3d printer	optomechanics - (mirror mounts, etc)	usb-gpib (electronics to communicate with old lab equipment)	high quality data aquision cards	tunable laser	yes	the difficulty of needing to use a proprietary coordinate measuring machine which regularly needed engineer callouts to fix delayed a project i was working on so much that the final measurments were never taken, and no paper was published for almost 3 years work. all other equipment was built in house or used open communication protocalls. the coordinate measuring machine was the only bottleneck.	equipment broke and it took too much time to repair it	yes	"rep-rap printers (including prusa), openflexure microscope, arduino, raspian, ubuntu, freecad, openscad, python, octave, cherry tree, gcc, kate, kile, latex, bash, cura, slic3r, wxmaxima, zotero, veusz
"	yes	rep-rap printers (including prusa), openflexure microscope, arduino, raspian, ubuntu, freecad, openscad, python, octave, cherry tree, gcc, kate, kile, latex, bash, cura, slic3r, wxmaxima, zotero, veusz, imagej, siesta, centos	yes	openflexure mircoscope	yes	brand is unimportant compared to good documentation, and communication with experts who design/build the product.	yes	i already do. i find it easier to maintain and less time is wasted trying to work around locked/missing features.	yes	looking for affordable option	yes	working in both universities and national metrology labs i have either built or worked with the scientist who built most of the equipment i have use throughout my career. new equipment is needed to push the boundaries of what we can measure. i have worked/built on equipment for mass metrology, laser power, scanning probe microscopy, force sensor calibration, optical microscopy, and measurements of newtonian gravitation.	yes
212	2019-02-01 15:20:19	8	en	male	middlebury	vt	united states	remote sensing	specialization (after undergrad studies)	yes	american museum of natural history	researcher	other	35	satisfactory	our budget for equipment is not very strong		computer	drones	sensor netowrks	improved drone	advanced camera traps	advanced environmental sensors	yes	use of low tech aerial imaging platforms instead of drone due to regulation constraints		yes	cameras, arduino,  ubuntu, python qgis, r, otb toolkit, libreoffice	yes	public labs	yes	arduino	yes	why not?	yes	i like to tinker and build equipment i can use	yes	looking for affordable option	yes	nir camera, camera control hardware, drones	yes
213		1	en																																						
214	2019-02-01 15:38:06	8	en	female	brighton		uk	biology	masters	yes	university of sussex	researcher	biology	9	satisfactory	it is relatively easy to access pieces of equipment not owned by the immediate laboratory		incubators (both shaking and static)	centrifuge	vortex mixer	microcentrifuge	waterbath	heatblock	no			no		no		no		yes	i would consider any good quality products that save us a bit of money from the big name brands	yes	it sounds fun and would be interesting to see how things are made	no		no		yes
215			en																																						
216	2019-02-01 15:45:03	8	en	male				molecular and cell biology	phd	yes	university of sussex	researcher	biology	14	satisfactory	high quality and realiable 		pipettes	thermocycler	heat blocks	nanodrop	heat blocks	ph meter	no			no		no		no		yes	for comparison	yes	i believe most of them are not too difficult to make 	yes	just to try out new things	no		yes
217	2019-02-01 16:01:46	8	es	male	temperley	buenos aires	argentina	licenciado en biotecnología	bachelors of science	yes	grupo de investigación en enseñanza de la ciencia	researcher	education	3	partially satisfactory	el trabajo puede hacerse con elementos sencillos como computadora, conexión a internet, cámara de fotos y grabadora de voz. en mi caso particular, además, trabajo con el desarrollo y evaluación de actividades de laboratorio. en ese caso, veo una carencia de herramientas didácticas que no sean de caja negra. eso permitiría a los estudiantes y docentes un acercamiento a la tecnología mucho más completo.	other	computadora	none	none	placas arduino	sensores de señales para placas arduino	none	no			yes	paquete open office. placas arduino.	i wouldn't know		no		yes	"comprendo que para otras investigaciones, el camino tecnológico pueda ser determinante. por mi trabajo, no estoy ""atrapado"" en ninguna vía tecnológica. de hecho, para los fines que persigo en el desarrollo de las actividades de laboratorio, que el hardware tenga que ser calibrado y analizado para comprender su función es una ventaja."	yes	utilidad didáctica y porque es algo agradable.	no		yes	estamos construyendo una termocicladora y un colorímetro con un grupo de colegas.	yes
218	2019-02-01 15:49:58	8	en					biology	phd	yes	university and academic research institute	student	biology	4	satisfactory	we make do with what we have, quality of equipement is good.		flow cytometer	2-photon microscope	qpcr	i dont know, i can find pretty much anything i need around in university	none	none	no			yes	r,  inkscape, libreoffice. basically anywhere i have my say, i use opensource. only limitation for me for now (because i haven't got around it yet) is flow cytometry analysis. i know it's doable with r, but i still use flowjo...	no		no		maybe	i'm finishing my phd, so not my say, neither my intereset. 	yes	"we have way too many stories of equipement ""too old to be repaired"", the manufacturer says. that baffles me. i want to have accesses to my equipement, modify it whenever i want."	no		no		yes
219		2	en	male	brighton	e sussex	uk	neuroscience	phd	yes	university of sussex		arts																												
220		1	en	male																																					
221		1	en																																						
222		1	en																																						
223		3	en	male	cambridge	cambridgeshire	united kingdom	biology	phd	yes	university of cambridge	researcher	biology	9					none	none		none	none																		
224	2019-02-01 18:33:23	8	en	male	bella bella	british colombia	canada	bsc. in biology	bachelors of science	yes	ccira, uvic, sfu, hakai institute,	researcher	biology	8	unsatisfactory	a lot of our research projects are focussed on employing indigenous community members to do ecosystem based monitoring programs, and majority of funds received are used towards employment rather than purchasing expensive research equipment.	the amount of time necessary to repair/calibrate existing equipment	drop camera	temperature loggers	dissolved oxygen monitoring	ysi or small ctd	rov	none	yes	monitoring several sites with a ysi had to be changed to monitoring a single site with deployable data loggers.	equipment unavailable (other reasons than being broken)	yes	openrov, opencpn, imagej, python, sebastes, 	yes	openrov, opencpn, imagej, python, sebastes, 	no		yes	i have no existing affinity for any equipment brands.	yes	i regularly end up building most of our research equipment.	yes	just to try out new things	yes	drop camera systems, stereo camera systems, ocean change monitoring mooring systems,	yes
225			en																																						
226		-1	en																																						
227		3	en					biology	phd	yes		non-administrative/non-academic work	biology	11					none	none		none	none																		
228	2019-02-02 15:25:51	8	en	male	i̇zmir 		turkey 	operation research	bachelors of science	yes	mediterranean conservation society 	non-administrative/non-academic work	other	14	partially satisfactory		other	diving eguiptments 	underwater cameras 	various sensors for tracking fishes. 	remote control underwater drones	underwater cameras with long battery life	none	yes	tagging chips for fishes		no		no		no		maybe	i ll try first	no	i dont have the infrastructure	no		no		yes
229	2019-02-02 16:48:56	8	en	male	providence	rhode island	usa	medicine	other	yes	brown university	non-administrative/non-academic work	health	5	partially satisfactory	i have access to most equipment that i need. i wish more of it were openly available to anyone who wanted to use it, and i wish it were more open source/hackable	too many users for a small number of equipment/tools	mostly shopbot, laser cutter	none	none	n/a	none	none	i wouldn't know			no		yes	lots of software (openscad, etc.), not much in the way of hardware	yes	mostly what you make - the microscope, openpcr, etc.	yes	i don't have a strong bias against new brands, i think they can definitely produce great equipment at a lower cost than established brands sometimes, though that comes at the risk of potentially less reliable equipment or pieces that won't be upgraded/continued in the future	yes	i love to build and this is a great way to keep cost down and customize equipment	yes	looking for affordable option	yes	while on a trend trip :)	yes
230			en																																						
231	2019-02-04 01:22:06	8	en			new york	usa	geology	phd	yes	columbia university 	researcher	geology	8	satisfactory	easy access to many kinds of instruments from basic to very advanced. 		gas chromatograph 	none	none	gas chromatograph orbitrap mass spectrometer 	gas chromatograph isotope ratio mass spectrometer 	none	no			yes	user contributed matlab functions, python 	yes	python	no		maybe	expensive equipment probably not, moderate to inexpensive yes. mostly about the risk to my work if the instrument doesn’t work. 	no	time. i don’t have it. 	yes	looking for affordable option	yes	add on sand peripherals for existing equipment 	yes
232		3	en	male	cottbus	brandenburg	germany	information sience	specialization (after undergrad studies)	no		non-administrative/non-academic work	computer science	11					none	none		none	none																		
233		3	en	female			uk	chemistry	phd	yes	university of sussex	researcher	chemistry	10					none	none		none	none																		
